n_required,n_cands_per_course,total_sections,ms
3,6,18,204.7586659900844
3,6,18,61.456041876226664
3,6,18,51.978333154693246
3,6,18,53.149749990552664
3,6,18,48.302083974704146
3,6,18,46.58441594801843
3,6,18,48.712374875321984
3,6,18,46.198541997000575
3,6,18,43.990750098600984
3,6,18,43.22762484662235
3,6,18,46.89029208384454
3,6,18,44.83929090201855
3,6,18,43.16958296112716
3,6,18,47.12649993598461
3,6,18,57.481708005070686
3,6,18,52.92287515476346
3,6,18,56.25299992971122
3,6,18,54.21783309429884
3,6,18,50.11954111978412
3,6,18,56.60687503404915
3,6,18,94.91337509825826
3,6,18,80.29125002212822
3,6,18,72.95066700316966
3,6,18,73.77849984914064
3,6,18,69.4747909437865
3,6,18,52.39633400924504
3,6,18,61.97041692212224
3,6,18,56.64562503807247
3,6,18,69.90641611628234
3,6,18,67.00562499463558
3,6,18,57.560000102967024
3,6,18,53.79316699691117
3,6,18,56.94529111497104
3,6,18,61.26162502914667
3,6,18,51.969290943816304
3,6,18,54.70808292739093
3,6,18,56.98295799084008
3,6,18,60.70754211395979
3,6,18,63.97716701030731
3,6,18,57.38399992696941
4,6,24,54.987415904179215
4,6,24,57.513457955792546
4,6,24,58.988832868635654
4,6,24,49.753249855712056
4,6,24,67.93899997137487
4,6,24,51.60787492059171
4,6,24,204.19958280399442
4,6,24,90.991250006482
4,6,24,83.63933395594358
4,6,24,103.6704161670059
4,6,24,144.20937513932586
4,6,24,112.20908304676414
4,6,24,139.93645808659494
4,6,24,80.14958305284381
4,6,24,97.42312505841255
4,6,24,132.3079587891698
4,6,24,112.56645806133747
4,6,24,63.96766612306237
4,6,24,61.21983379125595
4,6,24,50.942542031407356
4,6,24,49.06812496483326
4,6,24,51.8573340959847
4,6,24,61.70141603797674
4,6,24,55.54924998432398
4,6,24,54.208792047575116
4,6,24,53.02774999290705
4,6,24,49.86841697245836
4,6,24,53.6127919331193
4,6,24,51.69516708701849
4,6,24,52.941709058359265
4,6,24,57.22704087384045
4,6,24,48.1988328974694
4,6,24,52.62337508611381
4,6,24,51.74170807003975
4,6,24,49.85145898535848
4,6,24,48.82212495431304
4,6,24,58.62487503327429
4,6,24,51.52658303268254
4,6,24,52.99416580237448
4,6,24,51.74875003285706
4,10,40,72.60820898227394
4,10,40,74.01237497106194
4,10,40,85.3252918459475
4,10,40,70.8477080333978
4,10,40,87.54737488925457
4,10,40,76.82254095561802
4,10,40,81.92683383822441
4,10,40,73.76404106616974
4,10,40,63.745083985850215
4,10,40,87.12074998766184
4,10,40,74.17704211547971
4,10,40,68.13724990934134
4,10,40,73.39229201897979
4,10,40,83.10170797631145
4,10,40,77.18529179692268
4,10,40,81.12945896573365
4,10,40,76.29095809534192
4,10,40,86.15758316591382
4,10,40,76.27991610206664
4,10,40,76.6493328846991
4,10,40,71.37741683982313
4,10,40,80.04720811732113
4,10,40,71.23337499797344
4,10,40,79.93504195474088
4,10,40,80.06745902821422
4,10,40,75.99862501956522
4,10,40,82.27024995721877
4,10,40,81.52754115872085
4,10,40,73.03183316253126
4,10,40,149.16124986484647
4,10,40,118.26150002889335
4,10,40,85.83808410912752
4,10,40,70.02133317291737
4,10,40,95.87175003252923
4,10,40,86.61216706968844
4,10,40,89.28358415141702
4,10,40,104.13562506437302
4,10,40,103.74408401548862
4,10,40,98.87683298438787
4,10,40,240.18624983727932
5,8,40,83.23937491513789
5,8,40,87.3907501809299
5,8,40,67.40391696803272
5,8,40,77.61087501421571
5,8,40,69.3431249819696
5,8,40,88.45783304423094
5,8,40,99.02049996890128
5,8,40,77.39174994640052
5,8,40,82.89537508971989
5,8,40,76.86954108066857
5,8,40,73.59745912253857
5,8,40,68.21929197758436
5,8,40,80.35429194569588
5,8,40,70.17229194752872
5,8,40,77.54366705194116
5,8,40,70.18658285960555
5,8,40,83.77933292649686
5,8,40,71.93012512288988
5,8,40,78.90308299101889
5,8,40,75.93716587871313
5,8,40,79.56274994648993
5,8,40,71.76991691812873
5,8,40,76.03483414277434
5,8,40,69.03579086065292
5,8,40,83.38929200544953
5,8,40,91.77066595293581
5,8,40,60.7372079975903
5,8,40,71.89212506636977
5,8,40,78.85074988007545
5,8,40,78.382708132267
5,8,40,84.39125004224479
5,8,40,61.511291889473796
5,8,40,67.23637506365776
5,8,40,82.91012491099536
5,8,40,83.52037495933473
5,8,40,79.38579097390175
5,8,40,67.94383400119841
5,8,40,81.85529080219567
5,8,40,68.8272500410676
5,8,40,94.46145803667605
6,8,48,0.1313749235123396
6,8,48,0.0341248232871294
6,8,48,0.02637505531311035
6,8,48,0.02295803278684616
6,8,48,0.022833002731204033
6,8,48,0.020999927073717117
6,8,48,0.021209008991718292
6,8,48,0.020790845155715942
6,8,48,0.021041138097643852
6,8,48,0.022249994799494743
6,8,48,0.022624852135777473
6,8,48,0.021958956494927406
6,8,48,0.021999934688210487
6,8,48,0.02187490463256836
6,8,48,0.0213750172406435
6,8,48,0.020999927073717117
6,8,48,0.021208077669143677
6,8,48,0.02145790494978428
6,8,48,0.021582935005426407
6,8,48,0.021416926756501198
6,8,48,0.021249987185001373
6,8,48,0.02395804040133953
6,8,48,0.020582927390933037
6,8,48,0.02074986696243286
6,8,48,0.02004089765250683
6,8,48,0.01979200169444084
6,8,48,0.01991703175008297
6,8,48,0.020166859030723572
6,8,48,0.019625062122941017
6,8,48,0.019790837541222572
6,8,48,0.019709113985300064
6,8,48,0.01937500201165676
6,8,48,0.019999919459223747
6,8,48,0.0199158675968647
6,8,48,0.01995917409658432
6,8,48,0.019791070371866226
6,8,48,0.020082807168364525
6,8,48,0.020208070054650307
6,8,48,0.019707949832081795
6,8,48,0.02074986696243286
6,12,72,0.026041874662041664
6,12,72,0.026124995201826096
6,12,72,0.026624882593750954
6,12,72,0.025625107809901237
6,12,72,0.026333145797252655
6,12,72,0.026374822482466698
6,12,72,0.026124995201826096
6,12,72,0.03616604954004288
6,12,72,0.030624913051724434
6,12,72,0.027208123356103897
6,12,72,0.02695806324481964
6,12,72,0.026833033189177513
6,12,72,0.026084017008543015
6,12,72,0.026250025257468224
6,12,72,0.025957822799682617
6,12,72,0.02550007775425911
6,12,72,0.026416033506393433
6,12,72,0.026208115741610527
